ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
4;Macho;101.0;1395.0;2.3;13.3;21.3;17.1;6.5;54.4;40.9;35.6;12.5;14.0;8.3;;13-09-2024;7.3;1235.0;160.0
5;Fêmea;101.0;1190.0;2.5;12.6;22.7;18.0;8.8;42.5;41.2;40.0;13.5;13.8;6.6;;13-09-2024;8.2;1140.0;50.0
7;Fêmea;101.0;1245.0;2.5;14.0;17.0;13.0;9.0;38.0;37.5;33.5;11.5;13.0;8.5;;13-09-2024;7.0;1150.0;95.0
9;Macho;101.0;1150.0;2.6;14.0;23.8;15.0;8.6;47.6;44.8;36.8;12.4;13.0;7.5;;13-09-2024;7.5;1020.0;130.0
14;Macho;101.0;1200.0;3.0;12.7;17.5;15.0;7.0;45.0;34.0;35.5;12.0;13.0;8.0;;13-09-2024;5.5;1115.0;85.0
17;Fêmea;101.0;1215.0;2.6;13.8;18.5;15.8;7.5;42.0;42.1;32.5;10.4;10.1;8.3;;13-09-2024;8.0;840.0;375.0
18;Fêmea;101.0;1480.0;2.7;12.5;17.0;17.0;10.0;43.5;47.5;40.0;14.0;13.0;9.0;;13-09-2024;8.5;1380.0;100.0
26;Macho;101.0;1465.0;2.0;12.5;17.0;14.5;6.5;46.0;37.0;37.0;10.0;12.0;8.0;;13-09-2024;5.0;1360.0;105.0
28;Fêmea;101.0;1140.0;2.4;12.3;20.7;16.0;9.0;46.5;47.0;33.6;10.0;10.4;7.3;;13-09-2024;7.0;1105.0;35.0
29;Fêmea;101.0;1140.0;2.7;13.4;20.6;15.6;8.7;48.8;38.7;33.4;12.2;12.3;7.9;;13-09-2024;7.8;1115.0;25.0
31;Fêmea;101.0;1045.0;2.6;12.5;16.0;15.0;8.5;39.0;40.0;35.0;12.0;12.5;7.5;;13-09-2024;7.5;895.0;150.0
33;Fêmea;101.0;1325.0;2.2;12.5;18.0;17.5;12.5;42.2;46.5;35.0;9.4;10.0;7.9;;13-09-2024;7.4;1250.0;75.0
34;Macho;101.0;1330.0;3.1;13.5;21.0;16.0;6.0;52.0;41.6;34.5;12.2;13.3;7.8;;13-09-2024;8.7;1175.0;155.0
35;Fêmea;101.0;1235.0;3.0;13.0;19.8;16.8;7.4;45.0;39.4;34.0;10.6;13.3;8.2;;13-09-2024;7.4;1045.0;190.0
36;Macho;101.0;1175.0;2.3;12.9;20.5;15.5;9.0;43.0;45.0;31.8;10.0;11.0;8.0;;13-09-2024;7.1;1045.0;130.0
