feature;importancia_media;desvio
UNHAMAIOR_inclinacao;0.06223299;0.012858906
UNHAMAIOR_valor;0.039040502;0.014751623
UNHAMAIOR_delta;0.03109945;0.011906209
COXA_valor;0.030490184;0.0106538
CIRCFCABECA_valor;0.029211236;0.0080649955
ASA_inclinacao;0.029066252;0.0075065102
ASA_delta;0.028490845;0.0069201845
COXA_delta;0.027836226;0.0073556737
CIRCFCABECA_inclinacao;0.027683498;0.0064431024
CIRCFCABECA_delta;0.026954593;0.007274914
CANELA_inclinacao;0.025203267;0.0059851385
TULIPA_valor;0.02514044;0.009148967
PESCOCO_delta;0.025026383;0.006734957
ASA_valor;0.024945328;0.009161035
BICO_valor;0.024893858;0.008519465
COXA_inclinacao;0.024837146;0.011870921
DORSO_delta;0.024507396;0.005422106
PESO_valor;0.024280539;0.0054066824
DORSO_valor;0.024147546;0.005950285
VENTRE_inclinacao;0.023809308;0.007515868
TULIPA_delta;0.023707276;0.0068851607
VENTRE_delta;0.023504164;0.00645066
BICO_inclinacao;0.023359755;0.0050615305
VENTRE_valor;0.023260217;0.0064461264
BICO_delta;0.023157833;0.0076482943
SOBRECOXA_inclinacao;0.022802109;0.0052813916
DORSO_inclinacao;0.022718335;0.0060906736
SOBRECOXA_delta;0.022544438;0.005828018
CIRCFABDOM_inclinacao;0.022531006;0.0064717047
TULIPA_inclinacao;0.022507178;0.006289318
PESO_inclinacao;0.022339264;0.006413267
SOBRECOXA_valor;0.022123314;0.0075053996
PESCOCO_inclinacao;0.021934193;0.0060876603
PESCOCO_valor;0.021574663;0.0074924757
CANELA_delta;0.021490265;0.005785528
PESO_delta;0.021373404;0.007900061
CIRCFABDOM_valor;0.020758651;0.007965834
CIRCFABDOM_delta;0.020575058;0.008153933
CANELA_valor;0.01884191;0.0074861147
