feature;importancia_media;desvio
UNHAMAIOR_inclinacao;0.063176535;0.0121255815
UNHAMAIOR_valor;0.039082445;0.014358614
UNHAMAIOR_delta;0.031319637;0.011024996
COXA_valor;0.031055762;0.010801525
ASA_inclinacao;0.029869195;0.007171847
CIRCFCABECA_valor;0.028383037;0.00858591
COXA_delta;0.028083408;0.007310627
CIRCFCABECA_inclinacao;0.028070327;0.0060521117
TULIPA_valor;0.027546061;0.009097201
ASA_delta;0.027516833;0.007334909
CIRCFCABECA_delta;0.026921378;0.0066624316
ASA_valor;0.02540415;0.00920539
DORSO_valor;0.025356205;0.006966271
CANELA_inclinacao;0.02521622;0.006074143
COXA_inclinacao;0.02513366;0.013459941
DORSO_delta;0.025120381;0.0051085143
VENTRE_valor;0.025052028;0.011009869
BICO_valor;0.025045596;0.008420709
PESCOCO_delta;0.02503651;0.0066587664
TULIPA_delta;0.02422761;0.0057171513
BICO_inclinacao;0.024041865;0.0057245903
VENTRE_inclinacao;0.023833873;0.008145307
PESO_valor;0.023204315;0.0048631392
BICO_delta;0.023035068;0.0064113764
PESO_inclinacao;0.022369372;0.005878107
VENTRE_delta;0.022331318;0.006249768
CIRCFABDOM_inclinacao;0.022309871;0.005857791
SOBRECOXA_inclinacao;0.02213787;0.005554034
TULIPA_inclinacao;0.022132123;0.0064903907
SOBRECOXA_delta;0.022035059;0.006310907
SOBRECOXA_valor;0.021940712;0.007710355
DORSO_inclinacao;0.021924602;0.007878416
PESCOCO_inclinacao;0.021610973;0.0064259563
CANELA_delta;0.021287132;0.0055976054
CIRCFABDOM_valor;0.020973565;0.0065968377
CIRCFABDOM_delta;0.020440063;0.0075583127
PESO_delta;0.019704467;0.012445962
CANELA_valor;0.0193389;0.006886885
PESCOCO_valor;0.018731887;0.007493164
