ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
1;Macho;80.0;1220.0;2.2;14.0;17.0;18.0;6.0;48.0;46.0;37.0;14.0;15.0;9.0;8.0;23-08-2024;;990.0;230.0
2;Fêmea;80.0;1300.0;3.3;13.3;15.5;16.0;6.5;42.0;36.0;34.0;11.0;13.5;7.5;6.5;23-08-2024;;1115.0;185.0
3;Macho;80.0;1050.0;2.1;13.0;17.0;17.0;7.0;48.0;46.0;22.0;11.0;13.0;8.0;7.5;23-08-2024;;950.0;100.0
4;Macho;80.0;1235.0;2.4;12.7;23.9;17.7;6.5;47.0;33.4;43.1;12.4;15.1;8.6;9.2;23-08-2024;;1085.0;150.0
5;Fêmea;80.0;1140.0;2.1;11.0;16.0;14.5;8.0;46.0;39.0;31.0;11.5;11.5;7.0;7.5;23-08-2024;;970.0;170.0
6;Fêmea;80.0;1270.0;2.1;12.3;17.0;17.5;8.0;47.0;43.0;34.5;12.0;11.0;8.0;8.0;23-08-2024;;1065.0;205.0
7;Fêmea;80.0;1150.0;3.0;13.0;13.5;14.5;6.0;41.0;40.0;34.0;11.5;10.5;7.5;5.5;23-08-2024;;980.0;170.0
8;Macho;80.0;1240.0;2.8;14.0;16.0;15.2;8.5;43.0;36.0;33.0;12.0;10.5;8.0;6.0;23-08-2024;;980.0;260.0
9;Macho;80.0;1020.0;2.4;11.4;17.0;14.5;7.0;48.5;40.0;31.0;11.0;11.0;7.0;7.8;23-08-2024;;925.0;95.0
11;Macho;80.0;1055.0;3.0;11.3;15.5;14.0;7.5;40.0;35.0;34.5;11.5;12.0;7.0;5.5;23-08-2024;;855.0;200.0
12;Macho;80.0;1325.0;2.2;12.1;17.6;12.5;6.9;46.3;38.1;39.6;14.2;12.1;7.6;7.4;23-08-2024;;1180.0;145.0
13;Macho;80.0;1580.0;2.5;12.5;16.0;16.0;7.0;48.0;44.0;33.0;11.0;13.0;8.0;9.0;23-08-2024;;1310.0;270.0
14;Macho;80.0;1115.0;2.7;11.4;20.1;15.8;9.7;46.2;38.2;32.6;13.1;12.6;9.1;7.8;23-08-2024;;1005.0;110.0
15;Macho;80.0;1330.0;2.7;14.0;18.8;16.3;8.4;46.0;39.4;32.0;11.7;11.0;8.2;8.3;23-08-2024;;1140.0;190.0
16;Macho;80.0;1200.0;2.6;11.5;17.0;16.0;8.0;53.0;46.0;33.0;11.0;14.0;8.0;10.0;23-08-2024;;1000.0;200.0
18;Fêmea;80.0;1380.0;2.3;11.5;15.0;15.2;7.5;44.5;41.0;31.0;12.0;12.0;6.5;7.7;23-08-2024;;1215.0;165.0
20;Macho;80.0;850.0;2.2;12.2;17.9;16.7;7.0;40.2;39.4;31.0;10.6;11.9;8.3;8.1;23-08-2024;;720.0;130.0
21;Fêmea;80.0;1330.0;2.7;12.2;19.4;18.3;8.4;47.9;40.8;34.0;12.5;11.8;7.8;7.4;23-08-2024;;1195.0;135.0
22;Fêmea;80.0;1010.0;2.0;11.0;15.0;14.0;6.0;37.0;41.0;29.0;10.0;10.0;6.0;7.0;23-08-2024;;805.0;205.0
23;Macho;80.0;1215.0;2.6;13.1;21.4;13.6;6.8;44.5;41.1;36.6;11.2;10.9;8.4;8.8;23-08-2024;;1005.0;210.0
24;Macho;80.0;925.0;3.0;11.0;22.0;15.1;8.9;45.2;41.2;36.7;11.1;11.3;7.7;8.0;23-08-2024;;740.0;185.0
25;Macho;80.0;900.0;2.1;11.7;16.0;16.0;7.5;42.5;41.0;31.0;11.0;11.0;7.0;8.0;23-08-2024;;790.0;110.0
26;Macho;80.0;1360.0;2.7;12.5;18.0;14.0;7.0;39.0;33.0;38.0;10.0;11.5;7.0;5.5;23-08-2024;;1110.0;250.0
27;Fêmea;80.0;1150.0;2.4;11.5;12.6;15.4;7.3;40.4;39.3;30.2;10.9;11.3;6.3;6.3;23-08-2024;;795.0;355.0
28;Fêmea;80.0;1105.0;2.7;12.5;14.0;13.0;7.0;42.0;34.0;30.6;10.5;10.0;7.0;5.5;23-08-2024;;935.0;170.0
29;Fêmea;80.0;1115.0;2.2;10.0;18.0;15.0;7.5;45.0;42.5;30.0;15.0;12.0;7.0;8.0;23-08-2024;;935.0;180.0
30;Macho;80.0;990.0;3.0;12.5;15.0;15.0;8.0;42.0;38.0;33.0;12.0;10.5;8.0;6.3;23-08-2024;;860.0;130.0
31;Fêmea;80.0;895.0;2.1;11.0;16.0;14.0;7.5;43.0;41.0;34.0;11.0;11.5;7.0;7.5;23-08-2024;;730.0;165.0
