ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
7;Femea;0;25;0.9;5.7;2.9;3.6;1.1;12.5;10.5;7.1;2.7;2.4;2.2;1.6
10;Femea;0;33;0.9;7;4.5;3.5;1.7;13.2;11.9;9.1;2.3;3.4;2.5;2.9
11;Macho;0;31;0.7;7.7;4.8;3.1;1.8;12.7;13.4;8.3;3.0;3.3;1.8;2.6
16;Macho;0;36;1.2;6.3;3.7;2.1;1.3;12.5;11.8;7.6;2.1;2.5;1.9;1.7
17;Femea;0;27;0.7;5.9;3.4;3.5;1.3;11.6;11.2;7.8;2.6;3.1;2.3;2.1
19;Macho;0;28;1.0;6.4;4.3;2.8;1.6;12.4;11.4;8.5;3.0;2.6;2.2;2.3
20;Macho;0;32;1.0;7;4.6;4.5;2.5;13.3;13.6;7.8;3.1;3.3;2.4;2.4
25;Macho;0;30;0.7;6.3;3.1;2.8;2.2;13.4;11.0;8.5;2.6;2.6;1.9;1.9
26;Macho;0;29;1.3;5.7;4.1;2.3;1.9;12.0;12.1;8.4;3.4;3.7;2.1;2.1
31;Femea;0;26;0.8;6.5;2.9;3.7;0.7;11.2;10.7;7.9;2.1;3.1;1.7;1.6
39;Macho;0;31;0.9;5.9;4.8;3.3;1.7;10.7;10.2;8.1;3.0;2.6;2.0;1.5
47;Macho;0;32;0.6;6.5;4.7;3.0;1.7;12.5;11.6;9.4;3.1;3.5;2.6;2.4
57;Macho;0;31;0.6;7.2;1.0;3.2;2.2;11.2;9.3;8.7;2.3;2.6;2.0;1.7
62;Macho;0;3;0.8;7.2;5.5;3.4;1.9;12.8;12.5;8.3;3.1;3.1;2.4;2.5
70;Macho;0;32;1.2;6;4.9;3.9;1.2;14.1;11.5;7.8;3.0;3.3;2.0;1.1
75;Femea;0;30;1.2;6;4.5;2.8;1.1;13.2;11.7;9.5;3.1;3.2;1.9;2.1
77;Macho;0;32;1.0;6;4.3;4.5;1.1;14.2;11.9;6.7;2.9;2.7;2.3;1.8
84;Macho;0;40;1.0;6.9;5.7;3.5;2.0;13.2;13.7;8.7;3.1;3.2;2.9;2.7
88;Femea;0;29;1.1;7.8;4.8;3.8;2.5;12.6;13.5;7.3;3.3;2.7;2.0;2.7
95;Femea;0;32;1.0;6.7;3.7;3.1;1.6;11.6;11.2;7.5;2.5;2.2;1.8;2.3
111;Macho;0;33;1.0;6.9;5.7;2.1;2.4;12.9;12.4;;3.1;3.6;2.1;2.2
114;Macho;0;34;1.0;6.7;2.6;3.6;1.8;11.7;9.8;6.9;3.2;3.0;;2.1
115;Femea;0;30;1.4;5.9;5.4;3.6;2.1;13.5;11.4;7.2;2.8;2.8;2.2;2.1
117;Macho;0;38;0.7;6.7;6.4;3.9;1.5;13.0;12.4;8.9;3.6;3.3;2.4;2.8
118;Femea;0;33;1.0;7;4.6;3.0;0.9;12.8;12.7;8.7;3.1;3.7;2.1;2.4
123;;0;25;1.1;5.5;3.7;2.9;1.0;11.4;11.4;6.2;2.3;2.9;2.2;1.7
127;Femea;0;30;1.4;6.3;4.9;4.1;2.1;13.2;12.0;8.3;3.6;3.2;2.0;2.3
129;Femea;0;35;1.0;7.1;4.3;2.7;0.9;11.1;11.8;8.1;3.7;3.1;2.6;2.0
130;Macho;0;39;1.3;6.8;5.3;3.3;2.2;12.3;12.6;7.9;3.3;3.0;2.2;2.7
140;Macho;0;36;1.1;7.8;3.5;2.5;1.8;12.5;12.2;11.1;3.0;3.1;1.6;2.1
144;Macho;0;36;1.0;5.8;4.3;3.2;1.6;11.2;11.9;7.4;2.9;3.2;2.4;2.1
151;Macho;0;29;1.1;6.1;3.8;2.9;2.0;11.8;13.0;9.3;2.8;3.1;2.7;2.5
170;Macho;0;32;0.8;7;3.5;4.0;0.7;11.6;11.4;7.5;2.2;2.7;2.4;1.7
174;Macho;0;35;1.0;6.6;5.4;2.8;2.8;13.2;11.6;7.5;3.0;3.1;3.5;2.9
177;Femea;0;30;1.1;6;4.9;2.8;1.4;12.4;12.1;8.0;2.8;3.2;1.8;2.2
184;Macho;0;36;0.9;3.1;3.3;3.0;2.0;12.1;12.6;10.4;3.0;2.5;2.2;2.0
187;Femea;0;32;1.0;6.4;3.9;3.0;1.1;11.6;9.6;6.4;2.7;2.4;1.9;1.6
190;Macho;0;34;1.0;6.1;4.0;2.7;2.1;13.7;11.0;8.2;2.3;2.7;1.7;1.7
194;Macho;0;34;1.0;6.8;6.5;3.9;2.3;12.4;14.2;8.9;3.1;2.7;2.9;2.5
204;Macho;0;30;1.0;6.4;4.3;3.6;1.2;13.8;12.6;7.2;3.0;3.5;2.2;1.7
209;Macho;0;30;1.0;5.8;5.5;2.8;2.0;12.0;12.2;8.2;3.6;3.2;2.2;1.9
210;Macho;0;28;1.0;6.8;3.7;2.0;1.8;11.6;12.5;8.5;2.2;2.6;2.2;1.7
212;Macho;0;34;1.0;5.6;4.8;3.3;2.1;11.2;12.0;7.2;2.9;3.7;2.3;2.2
217;Femea;0;33;1.2;6.2;3.4;3.9;1.4;12.6;12.3;7.1;12.3;12.6;2.0;2.1
224;Macho;0;41;0.6;6.8;4.3;3.0;2.0;11.8;12.5;7.7;2.8;2.9;1.9;1.8
226;Macho;0;37;1.3;5.7;6.5;2.9;1.8;11.7;12.2;8.5;2.6;3.0;2.7;2.8
227;Macho;0;27;1.1;6.1;6.0;5.1;2.6;12.9;13.4;8.9;2.8;2.8;2.1;2.6
7;Femea;7;70;1.3;7.5;5.0;5.0;2.4;14.0;14.0;9.0;2.9;4.0;2.3;2.1
10;Femea;7;88;1.6;7.7;4.1;4.9;2.1;15.2;15.0;10.7;4.7;4.0;2.9;2.2
11;Macho;7;81;1.0;6.7;6.5;5.2;3.1;1.3;14.0;9.4;3.4;3.4;2.1;2.4
16;Macho;7;91;1.5;7.7;4.6;4.8;2.2;15.0;15.7;12.1;4.3;3.9;3.0;2.8
17;Femea;7;67;1.7;7.5;5.3;5.2;2.4;15.7;14.4;10.8;4.8;4.0;3.3;3.0
