ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
1;Macho;0;32;1.4;7.1;5.4;3.1;1.5;13.1;11.9;9.5;3.5;2.4;2.2;2.2
2;Femea;0;39;0.9;6.5;5.3;2.5;2.1;11.5;11.7;8.1;2.7;3.0;2.5;2.5
3;Macho;0;29;1.0;6.8;4.7;2.5;1.7;13.1;11.2;7.3;2.8;3.3;2.4;2.0
4;Macho;0;33;1.1;5.9;2.7;2.8;1.6;11.8;10.2;7.5;3.2;3.0;2.1;2.2
5;Femea;0;33;1.2;6.5;2.7;2.5;1.2;12.5;12.3;9.4;3.2;3.1;2.3;2.0
6;Femea;0;37;1.2;6.5;5.7;3.3;1.3;12.9;12.7;9.0;3.0;3.8;2.4;2.3
8;Macho;0;36;1.6;7.8;3.7;2.9;2.0;13.4;11.9;8.9;3.0;2.3;1.8;2.4
9;Macho;0;29;1.1;7.7;3.6;2.8;2.3;12.2;12.1;10.9;3.5;2.6;2.2;2.1
12;Macho;0;33;1.2;6.3;4.3;2.4;1.3;13.5;11.2;9.0;3.3;3.0;2.0;2.1
13;Macho;0;29;1.0;7.6;4.4;4.3;2.1;12.9;13.0;7.0;3.1;2.6;2.2;2.1
14;Macho;0;27;0.7;6.2;5.3;3.3;1.4;9.8;9.9;7.9;2.7;2.3;1.7;1.1
15;Macho;0;35;0.9;6;4.8;3.2;1.3;13.2;11.9;8.8;3.0;3.8;2.3;2.0
18;Femea;0;32;1.0;6.2;4.9;3.3;2.0;13.2;10.9;9.8;2.9;2.7;2.2;2.8
21;Femea;0;32;1.2;7.3;2.7;3.5;3.2;12.7;12.2;6.9;3.4;3.2;2.3;2.3
22;Femea;0;32;1.1;6.1;4.1;3.4;1.9;12.4;11.7;8.4;2.7;3.0;2.5;1.7
23;Macho;0;34;1.1;7.1;3.5;4.5;2.3;10.9;11.4;7.1;2.4;2.8;1.6;2.2
24;Macho;0;32;1.3;6.9;3.7;4.0;1.1;12.5;11.9;7.7;2.4;3.4;2.1;1.8
27;Femea;0;24;1.0;6.2;4.9;2.5;1.7;12.9;10.1;7.1;2.8;2.9;2.0;2.3
28;Femea;0;30;0.9;5;5.3;3.2;2.1;11.9;12.5;7.0;2.1;3.3;2.7;2.3
29;Femea;0;30;1.0;7.8;3.7;3.1;2.2;13.0;10.6;8.7;3.0;3.0;2.0;2.1
30;Macho;0;32;0.7;6.3;4.2;3.6;1.3;11.1;9.4;8.5;3.2;3.7;2.5;1.7
32;Femea;0;33;1.2;6.7;4.7;4.4;1.3;13.7;11.0;9.1;3.0;3.4;2.3;2.1
33;Femea;0;32;1.1;5.8;4.9;3.1;1.7;11.5;11.2;7.7;2.2;2.9;2.5;2.1
34;Macho;0;30;0.9;6.8;4.2;3.7;1.3;12.3;10.8;7.6;3.0;2.7;2.1;2.0
35;Femea;0;32;0.9;6.4;4.6;4.1;2.5;13.5;13.7;6.7;3.3;3.5;2.8;2.3
36;Macho;0;27;1.2;6.2;2.7;2.8;1.3;12.2;12.0;8.3;2.6;3.2;2.0;2.3
37;Macho;0;34;1.0;7.1;4.5;3.5;1.2;12.5;12.8;9.0;2.7;3.1;2.3;2.5
38;Femea;0;27;0.7;6.3;4.5;3.2;1.8;12.4;11.0;7.0;2.8;3.6;2.5;2.4
40;Macho;0;33;0.8;7;3.9;4.6;1.7;12.1;10.9;7.7;2.7;3.0;1.7;1.9
41;Macho;0;32;1.2;6.3;3.5;3.1;3.2;12.6;11.2;8.1;3.5;3.5;2.2;2.2
42;Femea;0;30;1.2;5.7;5.2;3.0;1.9;12.3;12.0;7.6;3.2;2.8;2.5;2.0
43;Macho;0;33;1.1;7;4.6;3.1;2.1;14.1;14.0;8.3;3.0;3.4;2.6;2.6
45;Macho;0;30;1.2;7.5;4.8;4.0;3.3;12.5;12.7;7.7;3.3;2.5;2.3;2.7
46;Femea;0;35;1.2;6.6;4.4;3.1;2.6;13.3;13.0;8.2;3.1;2.9;2.2;2.8
48;Femea;0;32;1.2;6.7;5.5;4.2;2.2;12.7;11.7;6.6;2.7;2.8;1.9;2.5
49;Femea;0;39;0.7;7.5;3.7;5.0;1.2;14.5;11.7;9.7;2.4;3.4;2.1;2.2
50;Femea;0;34;1.0;6.3;5.1;3.1;2.4;12.2;12.5;6.6;3.0;3.2;2.6;2.5
51;Macho;0;29;0.7;7.2;3.1;3.3;1.8;13.3;11.8;9.7;3.0;2.5;2.4;2.0
