ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
1;Macho;0;32.0;1.4;7.1;5.4;3.1;1.5;13.1;11.9;9.5;3.5;2.4;2.2;2.2
3;Macho;0;29.0;1.0;6.8;4.7;2.5;1.7;13.1;11.2;7.3;2.8;3.3;2.4;2.0
4;Macho;0;33.0;1.1;5.9;2.7;2.8;1.6;11.8;10.2;7.5;3.2;3.0;2.1;2.2
5;Femea;0;33.0;1.2;6.5;2.7;2.5;1.2;12.5;12.3;9.4;3.2;3.1;2.3;2.0
7;Femea;0;25.0;0.9;5.7;2.9;3.6;1.1;12.5;10.5;7.1;2.7;2.4;2.2;1.6
18;Femea;0;32.0;1.0;6.2;4.9;3.3;2.0;13.2;10.9;9.8;2.9;2.7;2.2;2.8
23;Macho;0;34.0;1.1;7.1;3.5;4.5;2.3;10.9;11.4;7.1;2.4;2.8;1.6;2.2
25;Macho;0;30.0;0.7;6.3;3.1;2.8;2.2;13.4;11.0;8.5;2.6;2.6;1.9;1.9
29;Femea;0;30.0;1.0;7.8;3.7;3.1;2.2;13.0;10.6;8.7;3.0;3.0;2.0;2.1
52;Macho;0;34.0;0.9;7.0;4.3;3.2;2.1;13.0;11.5;8.0;3.4;3.7;2.4;2.9
60;Femea;0;26.0;0.9;6.1;4.3;3.1;0.9;11.0;10.2;7.5;2.7;2.5;1.6;1.6
70;Macho;0;32.0;1.2;6.0;4.9;3.9;1.2;14.1;11.5;7.8;3.0;3.3;2.0;1.1
89;Femea;0;37.0;1.0;7.2;3.9;3.9;1.6;12.8;12.5;8.5;3.5;3.7;2.5;2.7
97;Femea;0;31.0;0.8;7.0;4.5;2.7;1.8;13.2;14.3;8.1;2.7;3.8;2.8;2.5
103;Macho;0;31.0;0.7;6.7;4.9;2.8;2.3;13.5;12.7;9.2;3.0;3.6;2.4;2.0
108;Femea;0;33.0;1.0;6.1;4.3;2.9;1.7;10.0;10.3;8.1;3.6;3.9;2.0;1.5
110;Femea;0;35.0;0.8;6.8;4.2;2.6;1.8;12.3;11.7;9.6;3.9;3.9;2.6;2.3
129;Femea;0;35.0;1.0;7.1;4.3;2.7;0.9;11.1;11.8;8.1;3.7;3.1;2.6;2.0
136;Femea;0;32.0;1.4;6.0;5.0;3.3;2.0;12.5;11.3;7.6;2.6;2.9;2.3;2.0
138;Femea;0;35.0;1.1;6.6;5.0;3.1;1.5;13.7;11.6;9.4;3.0;3.2;2.3;2.3
140;Macho;0;36.0;1.1;7.8;3.5;2.5;1.8;12.5;12.2;11.1;3.0;3.1;1.6;2.1
144;Macho;0;36.0;1.0;5.8;4.3;3.2;1.6;11.2;11.9;7.4;2.9;3.2;2.4;2.1
146;Femea;0;38.0;1.3;5.8;3.8;3.4;1.0;12.1;11.4;7.3;2.4;2.7;2.5;2.1
156;Macho;0;29.0;1.3;6.6;4.8;2.8;1.6;12.9;11.4;10.0;3.1;3.3;2.5;2.1
177;Femea;0;30.0;1.1;6.0;4.9;2.8;1.4;12.4;12.1;8.0;2.8;3.2;1.8;2.2
179;Macho;0;30.0;1.2;7.2;6.0;4.2;3.0;13.0;12.7;8.3;2.8;2.9;2.2;2.6
182;Femea;0;31.0;1.0;5.2;5.4;3.3;1.2;12.0;11.5;7.7;2.6;3.5;2.3;2.3
184;Macho;0;36.0;0.9;3.1;3.3;3.0;2.0;12.1;12.6;10.4;3.0;2.5;2.2;2.0
187;Femea;0;32.0;1.0;6.4;3.9;3.0;1.1;11.6;9.6;6.4;2.7;2.4;1.9;1.6
202;Macho;0;34.0;0.8;3.4;4.0;3.2;3.2;13.1;13.4;9.1;3.4;3.2;2.3;2.7
205;Macho;0;36.0;1.2;6.7;6.8;4.5;1.7;13.7;13.6;7.0;3.1;3.3;2.5;2.4
212;Macho;0;34.0;1.0;5.6;4.8;3.3;2.1;11.2;12.0;7.2;2.9;3.7;2.3;2.2
218;Macho;0;37.0;1.0;7.2;4.2;4.3;2.5;13.3;13.0;8.0;2.5;3.2;1.8;1.7
1;Macho;7;89.0;1.1;7.7;8.3;5.3;2.0;13.9;13.9;10.5;3.5;3.8;2.8;1.2
3;Macho;7;71.0;1.7;7.5;5.4;4.5;2.9;13.2;13.2;9.1;4.5;3.9;3.1;2.5
4;Macho;7;92.0;1.1;7.0;5.2;5.4;2.4;16.1;14.6;10.6;3.6;4.4;2.5;2.7
5;Femea;7;78.0;1.5;7.1;6.3;5.3;2.3;15.3;15.3;9.6;3.0;3.2;2.6;2.4
7;Femea;7;70.0;1.3;7.5;5.0;5.0;2.4;14.0;14.0;9.0;2.9;4.0;2.3;2.1
18;Femea;7;96.0;1.4;7.0;4.3;5.0;2.7;15.3;14.7;10.2;3.8;3.6;2.8;2.8
23;Macho;7;76.0;1.3;7.3;4.2;5.2;3.7;13.9;14.1;11.2;3.7;4.0;2.6;3.2
25;Macho;7;79.0;1.7;8.0;4.3;5.6;2.4;16.0;14.2;10.8;5.3;4.7;3.4;2.6
29;Femea;7;74.0;1.2;7.5;5.8;4.5;2.4;14.4;13.9;10.3;;3.8;2.4;2.4
52;Macho;7;90.0;1.4;8.0;4.4;5.1;1.9;14.5;14.7;12.4;4.8;3.6;2.9;2.0
60;Femea;7;70.0;1.5;6.4;4.3;4.8;2.5;12.9;12.1;9.5;3.0;3.5;2.7;2.4
70;Macho;7;84.0;1.3;6.1;5.1;4.9;2.5;16.4;15.0;10.7;3.6;3.9;2.5;2.4
89;Femea;7;80.0;2.4;7.3;6.4;5.6;4.4;15.5;15.6;10.9;3.9;4.6;3.9;3.2
97;Femea;7;86.0;2.1;6.8;6.8;5.5;3.0;15.4;14.0;10.9;4.2;5.0;3.9;3.1
103;Macho;7;85.0;1.4;8.0;5.0;4.5;3.3;15.8;14.1;9.9;4.5;4.2;3.7;3.2
108;Femea;7;70.0;1.7;7.8;3.7;5.0;2.4;14.9;14.9;12.2;4.4;4.1;3.0;2.8
